fips,distance_traveled_from_home_percent_increase_jan_to_april,median_home_dwell_time_percent_increase_jan_to_april,median_non_home_dwell_time_percent_increase_jan_to_april,median_percentage_time_home_percent_increase_jan_to_april,percentage_completely_home_percent_increase_jan_to_april
17089,-22.333972426447808,1.6343058477605155,-1179.5334507042253,19.100110926234056,44.192116151755904
17091,-14.919399800166616,-10.68094937421379,-398.85057471264366,15.64812779365429,33.96040415311491
17093,-40.091887913438725,8.117514706916374,-1536.786085150571,22.81976744186048,51.126053325269936
17095,-15.8652976120225,-0.479553350310186,-278.5416666666666,14.852518924562766,25.368937915778076
17097,-47.29183245041646,11.49282805029217,-2678.455920709441,21.46282973621103,48.564799379633506
17099,-30.24368240797764,-2.265674334686511,-372.13039485766745,15.25743453173547,30.403142542069638
17101,-51.10090691686469,-5.149379266241265,-247.77682403433468,15.373333333333356,31.93319308678994
17103,-27.414448226614407,-0.08319324108798781,-366.1197062040944,16.17430673457839,30.32519188530755
17105,-47.91307387107801,-5.604762596195735,-256.5406345067362,12.867506681939636,24.745415659311007
17107,5.641033090264654,0.19493712591291137,-308.4838432239833,17.25768321513002,33.042919746161
17109,-68.98149835392444,-5.520148518167662,-177.65802178062208,11.277932960893851,8.420067803080943
17111,-36.24920190560385,7.079801036397089,-1357.966457023061,20.569960776146353,45.428989680963795
17113,-3.004316021473853,-1.1102964281973349,-745.0654582074521,21.10599407375674,40.31270232413478
17115,-19.72317908486319,-4.0917167916227255,-282.83208020050125,14.498251878300957,29.51969847512446
17117,-40.261191141309546,-5.552989910015847,-293.1279620853082,14.390768186446437,26.33691764216657
17119,-18.831808839261026,3.351206434316366,-440.2703239912543,18.310522123252948,38.73673271634972
17121,1.7947779032274396,2.8182921216685517,-185.57811457439712,13.684536241974154,34.11391197003091
17123,-34.96660652836548,-1.322635389143084,-367.39092947059834,16.3807099107077,34.7033048656381
17125,-54.934185738786546,-6.250431421274241,-212.9725782897938,14.693136565940504,26.037290711815192
17127,-2.6388842592284,8.055521881440168,-229.53216374269005,15.362617250057193,34.40794313480073
17129,-43.92272262026614,-3.8839810684470817,-741.913082437276,23.172594370499688,40.883259589163956
17131,-37.1258000209842,4.457447999104688,-228.29841449603614,12.892498066511966,28.524958026746035
17133,-54.016622657424726,11.26958617918843,-613.0384887005649,22.47573518759961,47.759856264172896
17135,-75.67106775648915,-8.82366178588575,-234.65256986027944,14.917202415741265,29.339181795241693
17137,-5.881330445175405,-2.7528095197587827,-230.1819113502434,15.163592196158804,25.930012402035658
17139,-37.67074509944733,-1.3503315433215313,-214.60693961827056,15.261739799846039,31.35132809823783
17141,-38.41656209415362,-1.067377665144363,-284.81631679389324,16.58896658896659,33.224891600693155
17143,-6.782760471839216,-0.7347808516110088,-444.47682486816535,17.299259578750604,32.45716234363909
17145,-37.047278558163526,0.22689025123211787,-336.5182546749777,19.422468354430386,41.24021066570677
17147,-27.447699587234464,0.9234251951298188,-337.84438389343035,17.001883239171363,37.368984603084016
17149,-68.07484495198854,-6.684129817483493,-149.28014905149053,8.250599817986258,15.795232601597844
17151,0.40571220225742816,-20.42769072694581,-156.5010790172643,7.450237379676815,6.684655857274895
17153,-61.20444636484642,-3.2781591378801407,-88.9147889147889,6.614317171465377,17.423846369800568
17155,-37.00793692653605,9.003561998405315,-306.6646521622349,15.786430942523602,35.25671319266635
17157,-42.644677405608064,1.9258190531635597,-213.0533484676504,16.391600805826755,37.15324657815369
17159,-31.21889081387722,-6.147211779880022,-274.2298373139494,14.971521562245723,36.07522388389334
17161,-2.820733800337376,-2.5386210953221253,-343.94983725828064,15.778337163912296,28.885254280386075
17163,-22.613165840822237,1.8923732302350178,-428.4693407100047,17.28100607111883,35.28632124728504
17165,-27.652214511576584,-3.6931484044911667,-207.28333792849924,13.517683361025398,36.2207893436319
17167,-15.34453821241991,3.407854726112465,-706.8458417849898,19.696809448263704,39.01918472830513
17169,-4.6854392641011255,3.714577482767413,-233.59867330016573,14.12729582996421,35.680685488208866
17171,-20.998763653129338,3.3192361912085198,-101.08303249097474,11.5757999378689,16.657213967033066
17173,-30.117191818684358,-0.1495795601552203,-235.2004941087039,15.963060686015826,31.596564016398077
17175,-33.3095525095191,-11.593504147916839,-274.223823503247,8.088726472552949,21.138579586969435
17177,-12.997848493945769,3.69976920705544,-399.70743124634305,17.684617629889075,28.028054457562156
17179,-26.051304379376695,4.955781745369587,-538.9322916666667,19.045312668173487,38.21078609437406
17181,-33.570315971677985,2.379889930090732,-175.73583247913308,13.115619136960607,26.17670983775534
17183,-1.9651530387575304,-2.7507086547546646,-262.5451187778057,13.56623812185578,22.977222457423995
