,telework_score,percent_freq_or_always_mask_use,percent_republican_2016_pres,population_total,percent_uninsured,percent_below_poverty_line,percent_households_more_people_than_rooms,percent_racial_minority,percent_without_high_school_diploma,percent_over_65,population_density,distance_traveled_from_home_percent_increase_jan_to_april,median_home_dwell_time_percent_increase_jan_to_april,median_non_home_dwell_time_percent_increase_jan_to_april,median_percentage_time_home_percent_increase_jan_to_april,percentage_completely_home_percent_increase_jan_to_april,start_date,end_date,num_days,starting_cases_100k,ending_cases_100k,net_cases,avg_new_cases
41061,0.2806454249934721,0.7919999999999999,0.6501388032078964,26028,7.9,15.9,3.3,11.0,7.7,19.4,12.778121831975565,7.344086734699237,-10.615252784918589,-95.24454069662515,7.319234176971402,7.288352937634499,2020-11-22,2020-12-19,27,2623.69,3580.51,956.8200000000002,35.43777777777778
41063,0.30788678376068684,0.73,0.6523133302794321,6924,6.2,14.8,2.9,6.9,7.5,27.8,2.200963105598765,-114.12238330992676,-11.241939070491448,-35.629301868239914,-2.2028688524590145,-14.566706399194775,2020-11-22,2020-12-19,27,999.43,1085.09,85.65999999999997,3.1725925925925913
41065,0.2942116950970328,0.8779999999999999,0.4875459712470746,25866,8.3,13.4,3.0,25.0,14.2,20.0,10.862891989962566,-14.486028251019972,7.134837620331994,-136.28038194444446,10.562837316885114,7.672479184417679,2020-11-22,2020-12-19,27,1806.35,2939.15,1132.8000000000002,41.95555555555556
41067,0.40066814070301104,0.9249999999999998,0.30901601592678435,581821,6.8,9.6,3.5,33.7,8.4,12.6,803.3225898715201,-19.771584348847643,8.010686953765335,-1132.5368731563424,17.781007751937988,35.72050283852571,2020-07-26,2020-12-19,146,423.42,2436.38,2012.96,13.787397260273973
41069,0.2714731942794709,0.858,0.7224938875305623,1426,6.5,20.0,0.6,14.8,7.9,34.2,0.8309923096999668,-29.476760171275235,-11.47058631004982,-94.86820257368204,5.252604752267427,-7.736161877159118,2020-11-22,2020-12-19,27,141.34,848.06,706.7199999999999,26.174814814814813
41071,0.31385234767661224,0.8720000000000001,0.476893729616639,103820,6.4,13.7,3.9,22.7,11.7,16.3,145.02057189727734,-11.489910843845784,-1.2316729283274102,-387.2993050563144,14.763391095325241,23.91513032041527,2020-11-22,2020-12-19,27,1492.88,2254.1,761.2199999999998,28.193333333333324
42001,0.2825009785955655,0.8440000000000001,0.6616900755964539,102023,5.8,8.8,1.4,10.7,11.4,19.2,196.66683072564862,-17.246229992841734,-4.0588533739218775,-424.56614829839975,16.388251992575604,29.70440668998761,2020-04-19,2020-06-06,48,78.07,262.52,184.45,3.842708333333333
42003,0.3802645789852785,0.926,0.3991299987386828,1225561,4.3,12.1,0.9,21.2,5.7,18.1,1678.5819818967568,-27.305855337131142,6.042541893101396,-1487.2444968553464,20.921106980586536,35.189771747938984,2020-04-19,2020-05-30,41,84.71,155.27,70.56000000000002,1.720975609756098
42005,0.25658945701385444,0.741,0.7427414763742172,66331,5.0,11.7,1.0,2.8,10.5,21.0,101.55113696336643,-39.90481971681627,-5.033513160045746,-363.03540833809234,16.061348781937014,26.48827427564844,2020-04-19,2020-05-30,41,57.69,94.13,36.44,0.888780487804878
42007,0.3187241264687511,0.862,0.5763602206507042,166896,4.4,10.9,1.0,10.4,6.9,20.5,383.921432780985,-29.75635504241787,0.6475832942280789,-828.9832925835368,20.20255116344267,32.45059091882639,2020-04-19,2020-06-06,48,173.67,360.6,186.93000000000004,3.8943750000000006
42009,0.2443510302136556,0.7749999999999999,0.8271777298303508,48611,7.2,12.7,1.7,3.2,12.5,21.8,48.02026198808217,-10.348084303509784,-10.557812292579314,-138.21848554786237,8.042181934605972,11.3915773755429,2020-04-19,2020-05-30,41,31.03,80.68,49.650000000000006,1.2109756097560977
42011,0.295993763863453,0.893,0.5278234506869145,416642,6.7,12.8,1.5,27.5,13.5,16.6,486.5212464405292,-16.948552146083575,2.051564700838985,-706.7321688500728,19.09039667441697,32.84310593510707,2020-04-19,2020-06-20,62,454.04,1049.7,595.6600000000001,9.607419354838711
42013,0.3047119380005941,0.7440000000000001,0.7127246899415396,123842,5.3,14.6,1.0,5.3,9.1,19.8,235.5301353297709,-13.443833756750788,3.963028941729252,-344.92205410362226,16.52709183308281,20.674623824961873,2020-04-19,2020-05-30,41,11.37,40.6,29.230000000000004,0.7129268292682928
42015,0.2382395646172593,0.8909999999999999,0.7056558269799285,61304,6.8,12.0,1.7,4.0,11.1,20.3,53.427836389940424,-21.125907788660143,-12.975930748117378,-86.31288199341797,6.999114545600908,-3.2154238445468093,2020-04-19,2020-05-23,34,41.01,72.17,31.160000000000004,0.9164705882352943
42017,0.3755739342093832,0.9359999999999999,0.4773814468322408,626370,4.3,6.1,1.1,15.5,6.1,17.6,1036.302605784201,-39.42820081335017,15.903807032839296,-2489.867424242424,22.022341008771928,46.46779565753168,2020-04-19,2020-06-20,62,300.89,883.05,582.16,9.389677419354838
